iteration,lr,train_batch_size,gamma,n_optimiser_steps,max_grad_norm,episode_reward_mean_eve,episode_reward_mean_bob,episode_reward_mean_alice
0,1e-05,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,1e-05,10,0.99,100,1.0,-156.22262573242188,-4.082032680511475,-4.082032680511475
2,1e-05,10,0.99,100,1.0,-156.68389892578125,-3.731675624847412,-3.731675624847412
3,1e-05,10,0.99,100,1.0,-131.06646728515625,-18.625030517578125,-18.625030517578125
4,1e-05,10,0.99,100,1.0,-121.29173278808594,-20.719635009765625,-20.719635009765625
5,1e-05,10,0.99,100,1.0,-90.11628723144531,-24.429332733154297,-24.429332733154297
6,1e-05,10,0.99,100,1.0,-167.13113403320312,-1.646558403968811,-1.646558403968811
7,1e-05,10,0.99,100,1.0,-185.1258544921875,14.652488708496094,14.652488708496094
8,1e-05,10,0.99,100,1.0,-201.6046142578125,11.162103652954102,11.162103652954102
9,1e-05,10,0.99,100,1.0,-158.02828979492188,-14.4193115234375,-14.4193115234375
0,5e-05,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,5e-05,10,0.99,100,1.0,-177.80377197265625,19.230327606201172,19.230327606201172
2,5e-05,10,0.99,100,1.0,-151.984375,-3.8486456871032715,-3.8486456871032715
3,5e-05,10,0.99,100,1.0,-127.7425308227539,-38.220821380615234,-38.220821380615234
4,5e-05,10,0.99,100,1.0,-124.43914794921875,-69.43778991699219,-69.43778991699219
5,5e-05,10,0.99,100,1.0,-89.60946655273438,-87.12000274658203,-87.12000274658203
6,5e-05,10,0.99,100,1.0,-166.9064178466797,0.6493149995803833,0.6493149995803833
7,5e-05,10,0.99,100,1.0,-185.67625427246094,50.092185974121094,50.092185974121094
8,5e-05,10,0.99,100,1.0,-200.11019897460938,-11.8978853225708,-11.8978853225708
9,5e-05,10,0.99,100,1.0,-157.39404296875,-64.21723937988281,-64.21723937988281
0,0.0001,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0001,10,0.99,100,1.0,-177.72459411621094,11.038307189941406,11.038307189941406
2,0.0001,10,0.99,100,1.0,-140.01080322265625,-12.355247497558594,-12.355247497558594
3,0.0001,10,0.99,100,1.0,-148.09963989257812,-22.787202835083008,-22.787202835083008
4,0.0001,10,0.99,100,1.0,-164.50411987304688,-30.379047393798828,-30.379047393798828
5,0.0001,10,0.99,100,1.0,-130.71542358398438,-44.80908203125,-44.80908203125
6,0.0001,10,0.99,100,1.0,-194.8286895751953,2.1888184547424316,2.1888184547424316
7,0.0001,10,0.99,100,1.0,-194.4466094970703,38.84678649902344,38.84678649902344
8,0.0001,10,0.99,100,1.0,-200.1021728515625,24.153966903686523,24.153966903686523
9,0.0001,10,0.99,100,1.0,-157.3111572265625,-40.853485107421875,-40.853485107421875
0,0.0005,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.0005,10,0.99,100,1.0,-172.03521728515625,2.039036273956299,2.039036273956299
2,0.0005,10,0.99,100,1.0,-138.58563232421875,-35.97877883911133,-35.97877883911133
3,0.0005,10,0.99,100,1.0,-148.33518981933594,-48.540443420410156,-48.540443420410156
4,0.0005,10,0.99,100,1.0,-164.81166076660156,-45.315460205078125,-45.315460205078125
5,0.0005,10,0.99,100,1.0,-130.9432830810547,-109.89213562011719,-109.89213562011719
6,0.0005,10,0.99,100,1.0,-195.751953125,5.761792182922363,5.761792182922363
7,0.0005,10,0.99,100,1.0,-195.49874877929688,-18.162689208984375,-18.162689208984375
8,0.0005,10,0.99,100,1.0,-231.61337280273438,17.398860931396484,17.398860931396484
9,0.0005,10,0.99,100,1.0,-204.33621215820312,-19.0911865234375,-19.0911865234375
0,0.001,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.001,10,0.99,100,1.0,-172.0455322265625,2.037222385406494,2.037222385406494
2,0.001,10,0.99,100,1.0,-138.5873565673828,-36.42471694946289,-36.42471694946289
3,0.001,10,0.99,100,1.0,-148.33914184570312,-48.56352615356445,-48.56352615356445
4,0.001,10,0.99,100,1.0,-164.83511352539062,-45.38962173461914,-45.38962173461914
5,0.001,10,0.99,100,1.0,-130.95079040527344,-146.4030303955078,-146.4030303955078
6,0.001,10,0.99,100,1.0,-195.76707458496094,5.058689117431641,5.058689117431641
7,0.001,10,0.99,100,1.0,-195.51089477539062,0.5718741416931152,0.5718741416931152
8,0.001,10,0.99,100,1.0,-231.62753295898438,-0.1099347323179245,-0.1099347323179245
9,0.001,10,0.99,100,1.0,-204.35267639160156,-1.0783379077911377,-1.0783379077911377
0,0.005,10,0.99,100,1.0,-177.39492797851562,5.6169586181640625,5.6169586181640625
1,0.005,10,0.99,100,1.0,-178.04583740234375,2.582237958908081,2.582237958908081
2,0.005,10,0.99,100,1.0,-151.31765747070312,11.705859184265137,11.705859184265137
