iteration,lr,train_batch_size,gamma,n_optimiser_steps,max_grad_norm,episode_reward_mean_agents
0,1e-05,10,0.99,100,1.0,-203.77476501464844
1,1e-05,10,0.99,100,1.0,-199.75802612304688
2,1e-05,10,0.99,100,1.0,-264.65289306640625
3,1e-05,10,0.99,100,1.0,-281.7471008300781
4,1e-05,10,0.99,100,1.0,-311.59320068359375
5,1e-05,10,0.99,100,1.0,-232.2133331298828
6,1e-05,10,0.99,100,1.0,-268.6224060058594
7,1e-05,10,0.99,100,1.0,-268.7945861816406
8,1e-05,10,0.99,100,1.0,-313.3262634277344
9,1e-05,10,0.99,100,1.0,-343.3816833496094
0,5e-05,10,0.99,100,1.0,-203.77476501464844
1,5e-05,10,0.99,100,1.0,-307.5994567871094
2,5e-05,10,0.99,100,1.0,-354.67657470703125
3,5e-05,10,0.99,100,1.0,-331.74383544921875
4,5e-05,10,0.99,100,1.0,-477.04217529296875
5,5e-05,10,0.99,100,1.0,-545.4029541015625
6,5e-05,10,0.99,100,1.0,-559.7794189453125
7,5e-05,10,0.99,100,1.0,-434.68096923828125
8,5e-05,10,0.99,100,1.0,-553.0969848632812
9,5e-05,10,0.99,100,1.0,-511.36474609375
0,0.0001,10,0.99,100,1.0,-203.77476501464844
1,0.0001,10,0.99,100,1.0,-376.2243957519531
2,0.0001,10,0.99,100,1.0,-424.49041748046875
3,0.0001,10,0.99,100,1.0,-399.9379577636719
4,0.0001,10,0.99,100,1.0,-420.28155517578125
5,0.0001,10,0.99,100,1.0,-399.0787353515625
6,0.0001,10,0.99,100,1.0,-575.4627075195312
7,0.0001,10,0.99,100,1.0,-595.022705078125
8,0.0001,10,0.99,100,1.0,-574.3387451171875
9,0.0001,10,0.99,100,1.0,-574.0494995117188
0,0.0005,10,0.99,100,1.0,-203.77476501464844
1,0.0005,10,0.99,100,1.0,-406.3983459472656
2,0.0005,10,0.99,100,1.0,-462.918212890625
3,0.0005,10,0.99,100,1.0,-489.1148376464844
4,0.0005,10,0.99,100,1.0,-549.7020263671875
5,0.0005,10,0.99,100,1.0,-639.6420288085938
6,0.0005,10,0.99,100,1.0,-644.73828125
7,0.0005,10,0.99,100,1.0,-608.57275390625
8,0.0005,10,0.99,100,1.0,-573.3570556640625
9,0.0005,10,0.99,100,1.0,-567.7922973632812
0,0.001,10,0.99,100,1.0,-203.77476501464844
1,0.001,10,0.99,100,1.0,-408.22674560546875
2,0.001,10,0.99,100,1.0,-463.2421875
3,0.001,10,0.99,100,1.0,-472.8431701660156
4,0.001,10,0.99,100,1.0,-594.5686645507812
5,0.001,10,0.99,100,1.0,-660.0723876953125
6,0.001,10,0.99,100,1.0,-604.3903198242188
7,0.001,10,0.99,100,1.0,-584.7805786132812
8,0.001,10,0.99,100,1.0,-574.9830322265625
9,0.001,10,0.99,100,1.0,-574.4686279296875
0,0.005,10,0.99,100,1.0,-203.77476501464844
1,0.005,10,0.99,100,1.0,-455.26806640625
2,0.005,10,0.99,100,1.0,-487.38067626953125
3,0.005,10,0.99,100,1.0,-518.8595581054688
4,0.005,10,0.99,100,1.0,-645.2955932617188
5,0.005,10,0.99,100,1.0,-569.4984130859375
6,0.005,10,0.99,100,1.0,-579.2889404296875
7,0.005,10,0.99,100,1.0,-596.3173217773438
8,0.005,10,0.99,100,1.0,-574.9830322265625
9,0.005,10,0.99,100,1.0,-574.4688720703125
0,0.0003,10,0.9,100,1.0,-203.77476501464844
1,0.0003,10,0.9,100,1.0,-403.4642639160156
2,0.0003,10,0.9,100,1.0,-471.5309143066406
3,0.0003,10,0.9,100,1.0,-403.82415771484375
4,0.0003,10,0.9,100,1.0,-523.4611206054688
5,0.0003,10,0.9,100,1.0,-569.4317016601562
6,0.0003,10,0.9,100,1.0,-580.420166015625
7,0.0003,10,0.9,100,1.0,-596.2913208007812
8,0.0003,10,0.9,100,1.0,-574.9613647460938
9,0.0003,10,0.9,100,1.0,-574.4483032226562
0,0.0003,10,0.92,100,1.0,-203.77476501464844
1,0.0003,10,0.92,100,1.0,-403.48724365234375
2,0.0003,10,0.92,100,1.0,-471.53546142578125
3,0.0003,10,0.92,100,1.0,-407.15655517578125
4,0.0003,10,0.92,100,1.0,-523.4329833984375
5,0.0003,10,0.92,100,1.0,-569.4358520507812
6,0.0003,10,0.92,100,1.0,-580.4216918945312
7,0.0003,10,0.92,100,1.0,-596.2930908203125
8,0.0003,10,0.92,100,1.0,-574.9633178710938
9,0.0003,10,0.92,100,1.0,-574.4501953125
0,0.0003,10,0.94,100,1.0,-203.77476501464844
1,0.0003,10,0.94,100,1.0,-403.5099792480469
2,0.0003,10,0.94,100,1.0,-471.5400390625
3,0.0003,10,0.94,100,1.0,-410.2809143066406
4,0.0003,10,0.94,100,1.0,-523.3967895507812
5,0.0003,10,0.94,100,1.0,-569.4401245117188
6,0.0003,10,0.94,100,1.0,-580.4237060546875
7,0.0003,10,0.94,100,1.0,-596.2950439453125
8,0.0003,10,0.94,100,1.0,-574.9650268554688
9,0.0003,10,0.94,100,1.0,-574.4519653320312
0,0.0003,10,0.96,100,1.0,-203.77476501464844
1,0.0003,10,0.96,100,1.0,-403.5342712402344
2,0.0003,10,0.96,100,1.0,-471.54681396484375
3,0.0003,10,0.96,100,1.0,-413.0908203125
4,0.0003,10,0.96,100,1.0,-523.3493041992188
5,0.0003,10,0.96,100,1.0,-569.4432373046875
6,0.0003,10,0.96,100,1.0,-580.4270629882812
7,0.0003,10,0.96,100,1.0,-596.2969970703125
8,0.0003,10,0.96,100,1.0,-574.9661865234375
9,0.0003,10,0.96,100,1.0,-574.4539184570312
0,0.0003,10,0.98,100,1.0,-203.77476501464844
1,0.0003,10,0.98,100,1.0,-403.55804443359375
