iteration,lr,train_batch_size,gamma,n_optimiser_steps,max_grad_norm,episode_reward_mean_agents
0,1e-05,10,0.99,100,1.0,-231.93600463867188
1,1e-05,10,0.99,100,1.0,-244.49868774414062
2,1e-05,10,0.99,100,1.0,-280.0648498535156
3,1e-05,10,0.99,100,1.0,-375.3381652832031
4,1e-05,10,0.99,100,1.0,-443.44732666015625
5,1e-05,10,0.99,100,1.0,-481.65289306640625
6,1e-05,10,0.99,100,1.0,-481.35931396484375
7,1e-05,10,0.99,100,1.0,-510.30706787109375
8,1e-05,10,0.99,100,1.0,-399.32611083984375
9,1e-05,10,0.99,100,1.0,-411.3572692871094
0,5e-05,10,0.99,100,1.0,-231.93600463867188
1,5e-05,10,0.99,100,1.0,-372.0213623046875
2,5e-05,10,0.99,100,1.0,-439.34368896484375
3,5e-05,10,0.99,100,1.0,-486.32293701171875
4,5e-05,10,0.99,100,1.0,-398.8670959472656
5,5e-05,10,0.99,100,1.0,-348.01971435546875
6,5e-05,10,0.99,100,1.0,-445.78350830078125
7,5e-05,10,0.99,100,1.0,-470.99725341796875
8,5e-05,10,0.99,100,1.0,-514.3668212890625
9,5e-05,10,0.99,100,1.0,-504.0147399902344
0,0.0001,10,0.99,100,1.0,-231.93600463867188
1,0.0001,10,0.99,100,1.0,-412.5189514160156
2,0.0001,10,0.99,100,1.0,-448.55548095703125
3,0.0001,10,0.99,100,1.0,-494.16571044921875
4,0.0001,10,0.99,100,1.0,-457.8702087402344
5,0.0001,10,0.99,100,1.0,-410.0365295410156
6,0.0001,10,0.99,100,1.0,-400.5093994140625
7,0.0001,10,0.99,100,1.0,-380.816162109375
8,0.0001,10,0.99,100,1.0,-517.9351806640625
9,0.0001,10,0.99,100,1.0,-509.6842346191406
0,0.0005,10,0.99,100,1.0,-231.93600463867188
1,0.0005,10,0.99,100,1.0,-425.65435791015625
2,0.0005,10,0.99,100,1.0,-452.8279724121094
3,0.0005,10,0.99,100,1.0,-502.9798278808594
4,0.0005,10,0.99,100,1.0,-543.60546875
5,0.0005,10,0.99,100,1.0,-582.8580322265625
6,0.0005,10,0.99,100,1.0,-586.569091796875
7,0.0005,10,0.99,100,1.0,-631.0202026367188
8,0.0005,10,0.99,100,1.0,-595.777099609375
9,0.0005,10,0.99,100,1.0,-633.3052368164062
0,0.001,10,0.99,100,1.0,-231.93600463867188
1,0.001,10,0.99,100,1.0,-426.27728271484375
2,0.001,10,0.99,100,1.0,-453.1748962402344
3,0.001,10,0.99,100,1.0,-503.15533447265625
4,0.001,10,0.99,100,1.0,-543.6959838867188
5,0.001,10,0.99,100,1.0,-582.94970703125
6,0.001,10,0.99,100,1.0,-586.664794921875
7,0.001,10,0.99,100,1.0,-631.0985107421875
8,0.001,10,0.99,100,1.0,-408.46636962890625
9,0.001,10,0.99,100,1.0,-466.62445068359375
0,0.005,10,0.99,100,1.0,-231.93600463867188
1,0.005,10,0.99,100,1.0,-448.3443298339844
2,0.005,10,0.99,100,1.0,-483.50732421875
3,0.005,10,0.99,100,1.0,-536.2999877929688
4,0.005,10,0.99,100,1.0,-533.0962524414062
5,0.005,10,0.99,100,1.0,-544.0718994140625
6,0.005,10,0.99,100,1.0,-599.8323364257812
7,0.005,10,0.99,100,1.0,-587.7478637695312
8,0.005,10,0.99,100,1.0,-612.4786987304688
9,0.005,10,0.99,100,1.0,-631.98583984375
0,0.0003,10,0.9,100,1.0,-231.93600463867188
1,0.0003,10,0.9,100,1.0,-424.2869567871094
2,0.0003,10,0.9,100,1.0,-451.94482421875
3,0.0003,10,0.9,100,1.0,-502.35382080078125
4,0.0003,10,0.9,100,1.0,-543.3565063476562
5,0.0003,10,0.9,100,1.0,-582.6652221679688
6,0.0003,10,0.9,100,1.0,-586.40625
7,0.0003,10,0.9,100,1.0,-630.9312744140625
8,0.0003,10,0.9,100,1.0,-600.3577880859375
9,0.0003,10,0.9,100,1.0,-659.118408203125
0,0.0003,10,0.92,100,1.0,-231.93600463867188
1,0.0003,10,0.92,100,1.0,-424.28857421875
2,0.0003,10,0.92,100,1.0,-451.94598388671875
3,0.0003,10,0.92,100,1.0,-502.35430908203125
4,0.0003,10,0.92,100,1.0,-543.3583374023438
5,0.0003,10,0.92,100,1.0,-582.6690673828125
6,0.0003,10,0.92,100,1.0,-586.4066772460938
7,0.0003,10,0.92,100,1.0,-630.9251708984375
8,0.0003,10,0.92,100,1.0,-600.3409423828125
9,0.0003,10,0.92,100,1.0,-644.3854370117188
0,0.0003,10,0.94,100,1.0,-231.93600463867188
