iteration,lr,train_batch_size,gamma,n_optimiser_steps,max_grad_norm,episode_reward_mean_adversary,episode_reward_mean_agent
0,1e-05,128,0.99,100,1.0,7.0,-7.0
1,1e-05,128,0.99,100,1.0,1.0,-1.0
2,1e-05,128,0.99,100,1.0,46.0,-46.0
3,1e-05,128,0.99,100,1.0,202.0,-202.0
4,1e-05,128,0.99,100,1.0,1.0,-1.0
5,1e-05,128,0.99,100,1.0,99.0,-99.0
6,1e-05,128,0.99,100,1.0,150.0,-150.0
7,1e-05,128,0.99,100,1.0,1.0,-1.0
8,1e-05,128,0.99,100,1.0,95.0,-95.0
9,1e-05,128,0.99,100,1.0,83.0,-83.0
0,5e-05,128,0.99,100,1.0,7.0,-7.0
1,5e-05,128,0.99,100,1.0,230.0,-230.0
2,5e-05,128,0.99,100,1.0,0.0,0.0
3,5e-05,128,0.99,100,1.0,3.0,-3.0
4,5e-05,128,0.99,100,1.0,1.0,-1.0
5,5e-05,128,0.99,100,1.0,239.0,-239.0
6,5e-05,128,0.99,100,1.0,4.0,-4.0
7,5e-05,128,0.99,100,1.0,0.0,0.0
8,5e-05,128,0.99,100,1.0,1.0,-1.0
9,5e-05,128,0.99,100,1.0,0.0,0.0
0,0.0001,128,0.99,100,1.0,7.0,-7.0
1,0.0001,128,0.99,100,1.0,523.0,-523.0
2,0.0001,128,0.99,100,1.0,2.0,-2.0
3,0.0001,128,0.99,100,1.0,1.0,-1.0
4,0.0001,128,0.99,100,1.0,3.0,-3.0
5,0.0001,128,0.99,100,1.0,2.0,-2.0
6,0.0001,128,0.99,100,1.0,1.0,-1.0
7,0.0001,128,0.99,100,1.0,0.0,0.0
8,0.0001,128,0.99,100,1.0,0.0,0.0
9,0.0001,128,0.99,100,1.0,1.0,-1.0
0,0.0005,128,0.99,100,1.0,7.0,-7.0
1,0.0005,128,0.99,100,1.0,602.0,-602.0
2,0.0005,128,0.99,100,1.0,2.0,-2.0
3,0.0005,128,0.99,100,1.0,1.0,-1.0
4,0.0005,128,0.99,100,1.0,2.0,-2.0
5,0.0005,128,0.99,100,1.0,1.0,-1.0
6,0.0005,128,0.99,100,1.0,2.0,-2.0
7,0.0005,128,0.99,100,1.0,0.0,0.0
8,0.0005,128,0.99,100,1.0,0.0,0.0
9,0.0005,128,0.99,100,1.0,1.0,-1.0
0,0.001,128,0.99,100,1.0,7.0,-7.0
1,0.001,128,0.99,100,1.0,627.0,-627.0
2,0.001,128,0.99,100,1.0,0.0,0.0
3,0.001,128,0.99,100,1.0,1.0,-1.0
4,0.001,128,0.99,100,1.0,2.0,-2.0
5,0.001,128,0.99,100,1.0,1.0,-1.0
