Iteration,Adversary,Agent
0,8.0,-195.89942932128906
1,8.0,-268.20989990234375
2,0.0,-717.2357788085938
3,0.0,-318.9410400390625
4,8.0,-836.4945068359375
5,7.0,-661.0637817382812
6,1.0,-745.4144287109375
7,9.0,-819.3548583984375
8,9.0,-980.494140625
9,1.0,-1236.11669921875
10,2.0,-1251.173095703125
11,0.0,-1187.9173583984375
12,2.0,-983.6297607421875
13,4.0,-942.9889526367188
14,3.0,-871.5422973632812
15,0.0,-681.1097412109375
16,14.0,-552.0239868164062
17,2.0,-162.02194213867188
18,10.0,-393.97100830078125
19,18.0,-167.90386962890625
20,9.0,-250.1824493408203
21,7.0,-147.93197631835938
22,8.0,-191.7166290283203
23,7.0,-18.73349952697754
24,23.0,-64.24751281738281
25,12.0,-49.456031799316406
26,9.0,-17.5723934173584
27,4.0,-8.79896354675293
28,6.0,-7.51529598236084
29,18.0,-19.580995559692383
30,11.0,-12.14574146270752
31,9.0,-12.018476486206055
32,16.0,-16.4240779876709
33,6.0,-7.043833255767822
34,13.0,-13.62279987335205
35,1.0,-1.258559226989746
36,6.0,-6.0
37,6.0,-6.216026306152344
38,8.0,-8.596318244934082
39,1.0,-1.0
40,9.0,-9.0
41,19.0,-19.0
42,50.0,-50.30722427368164
43,28.0,-28.19390869140625
44,88.0,-88.11466979980469
45,71.0,-72.23658752441406
46,87.0,-87.23616027832031
47,9.0,-9.058182716369629
48,51.0,-51.100189208984375
49,158.0,-158.22048950195312
50,29.0,-29.1102352142334
51,260.0,-260.0417175292969
52,28.0,-28.557531356811523
53,75.0,-75.08940124511719
54,129.0,-129.39157104492188
55,43.0,-43.396766662597656
56,72.0,-72.4232177734375
57,39.0,-39.014259338378906
58,27.0,-27.3425350189209
59,44.0,-44.3155632019043
60,211.0,-211.0126190185547
61,285.0,-285.13970947265625
62,332.0,-332.6104431152344
63,30.0,-30.338125228881836
64,212.0,-212.147216796875
65,319.0,-319.3838195800781
66,238.0,-238.1137237548828
67,249.0,-249.0
68,237.0,-237.0
69,306.0,-306.06292724609375
70,277.0,-277.3638610839844
71,291.0,-291.22650146484375
72,350.0,-350.6732177734375
73,117.0,-117.1043701171875
74,307.0,-307.0310974121094
75,410.0,-410.330810546875
76,387.0,-387.2504577636719
77,358.0,-358.2079772949219
78,410.0,-410.5477600097656
79,432.0,-432.23876953125
80,366.0,-366.0
81,490.0,-490.0
82,376.0,-376.16436767578125
83,457.0,-457.2549743652344
84,479.0,-479.1446228027344
85,410.0,-410.0535583496094
86,486.0,-486.46417236328125
87,519.0,-519.2189331054688
88,500.0,-500.07891845703125
89,577.0,-577.1331787109375
90,486.0,-486.135986328125
91,572.0,-572.1292114257812
92,475.0,-475.2367248535156
93,560.0,-560.5355224609375
94,575.0,-575.2361450195312
95,479.0,-479.03326416015625
96,462.0,-462.0
97,558.0,-558.0531005859375
98,532.0,-532.1478271484375
99,610.0,-610.1263427734375
