Iteration,Adversary,Agent
0,9.0,-113.08171081542969
1,15.0,-110.37359619140625
2,18.0,-116.7289047241211
3,0.0,-232.60726928710938
4,11.0,-384.79779052734375
5,7.0,-1070.8067626953125
6,0.0,-849.6843872070312
7,0.0,-928.5524291992188
8,0.0,-484.14013671875
9,0.0,-579.5025024414062
10,3.0,-374.49542236328125
11,7.0,-278.7936096191406
12,6.0,-302.3116455078125
13,7.0,-400.41021728515625
14,1.0,-213.4078369140625
15,0.0,-246.7766876220703
16,2.0,-99.10110473632812
17,3.0,-140.92538452148438
18,1.0,-105.98060607910156
19,0.0,-455.09759521484375
20,13.0,-71.90687561035156
21,3.0,-33.0483283996582
22,1.0,-3.8847224712371826
23,10.0,-10.472738265991211
24,4.0,-5.6390380859375
25,5.0,-5.0
26,8.0,-8.048974990844727
27,2.0,-2.615262508392334
28,11.0,-11.103090286254883
29,3.0,-3.2462317943573
30,5.0,-5.1954345703125
31,1.0,-1.2186496257781982
32,6.0,-6.506601810455322
33,10.0,-12.706206321716309
34,49.0,-85.53303527832031
35,35.0,-39.22443389892578
36,16.0,-28.703933715820312
37,5.0,-49.463600158691406
38,3.0,-36.277198791503906
39,12.0,-31.610458374023438
40,4.0,-9.97809886932373
41,4.0,-36.90209197998047
42,7.0,-11.400043487548828
43,0.0,-26.641910552978516
44,22.0,-22.13134002685547
45,23.0,-63.0482177734375
46,75.0,-86.95433807373047
47,70.0,-75.33457946777344
48,126.0,-126.1474609375
49,150.0,-151.788818359375
50,12.0,-49.12694549560547
51,94.0,-94.03797912597656
52,19.0,-20.69113540649414
53,3.0,-3.1203441619873047
54,153.0,-153.38134765625
55,259.0,-260.0079040527344
56,311.0,-313.89239501953125
57,362.0,-363.54876708984375
58,401.0,-408.6654968261719
59,311.0,-311.29327392578125
60,241.0,-241.1539764404297
61,102.0,-102.15447998046875
62,228.0,-228.27749633789062
63,267.0,-267.4383544921875
64,320.0,-327.80841064453125
65,320.0,-321.16094970703125
66,355.0,-355.126220703125
67,272.0,-272.0
68,373.0,-373.0
69,290.0,-290.06854248046875
70,252.0,-254.9235382080078
71,298.0,-298.2876281738281
72,339.0,-340.07403564453125
73,401.0,-401.1041564941406
74,414.0,-414.0310974121094
75,402.0,-402.17218017578125
76,337.0,-337.94464111328125
77,364.0,-364.8939514160156
78,346.0,-346.95648193359375
79,448.0,-448.240478515625
80,359.0,-359.0
81,439.0,-439.78717041015625
82,451.0,-451.2003479003906
83,391.0,-404.2636413574219
84,388.0,-388.16876220703125
85,417.0,-417.0621032714844
86,428.0,-428.5784606933594
87,461.0,-461.30108642578125
88,396.0,-396.4726867675781
89,439.0,-439.42852783203125
90,321.0,-321.20001220703125
91,505.0,-506.6627502441406
92,461.0,-464.5430603027344
93,420.0,-421.7518005371094
94,481.0,-481.25396728515625
95,439.0,-439.03326416015625
96,416.0,-416.97247314453125
97,345.0,-345.0530700683594
98,347.0,-353.5185241699219
99,452.0,-455.86981201171875
